p1_good	p2_good	p3_good	p4_good	p5_good	p6_good	p7_good	p8_good	p1_poor	p2_poor	p3_poor	p4_poor	p5_poor	p6_poor	p7_poor	p8_poor
200604_s_at	2353.8	3154.6	4161.5	4646.5	4460	3504.1	4522.2	4153	1821	1592.8	5228	3876.3	5238.9	4733.2	2811.7	3385.9
200605_s_at	5800	6662.4	10785.1	9337.9	11221.8	9229.4	11047	9458.3	3341	2016.1	12405.7	6736	11744.3	9420.4	4801.2	6219
200606_at	99	208.9	212.7	136.6	97.3	154.8	158.1	49.5	247.9	159.1	68.6	271.2	127	96.1	277.4	247.5
200607_s_at	2933.7	3507.1	2626.6	2652.1	2849.4	2803.9	1691.7	3452	3431.8	2628.3	2679.6	1712.4	2027.4	3190.6	2247.9	1790.2
200608_s_at	5773.2	6451.7	7768.4	5610.5	5042.2	5178.6	5629.2	5274.1	4380.2	3590.7	5135.8	4495.1	5573.1	5403	5245.7	3285.2
200609_s_at	3816	4880.8	5004.5	5296.3	6289	5275.4	4413.2	6781	5142.5	2754.1	7523.5	4848.4	5153.8	4900	4058.1	3966.3
200610_s_at	20845.6	19170.1	16098.3	20801.1	17397.7	12027.9	14493.8	12895.6	20051.5	12359.4	16305.3	17429.5	18367.3	16426.1	15069.1	10777.7
200611_s_at	2127.6	3258	1907.8	2702.3	3653.3	2389	1857.2	2831	4501.2	3752.2	4136.3	4380.8	2647.8	2962	4002.5	4055
200612_s_at	1715.7	2345.2	2379	3176.2	2533.3	3109.1	2382.4	2418.6	1418.9	1115.4	2692.3	2347	2552.2	2602.7	2798.4	3248.4
200613_at	1307.7	2645.6	1590.8	2319.3	3415.7	2046	1852.7	2320	2356.2	2812.3	3264.3	5525	2315.7	2780.1	4654	4000.2
200614_at	4561.8	4265.6	7488	4155.4	6908.4	5212.7	5291.7	7281.2	3148.4	4028.2	10635.9	4297	7505.6	9509.3	3715.2	5316.8
200615_s_at	742.3	1275.5	1494.1	1808.2	1297.8	1465	1254.4	1162.7	643	773.4	1728.8	1421.9	1835	2029.2	1865.4	1744.7
200616_s_at	413	797.7	349.5	418.4	619.8	707.3	403.7	465.4	402.1	543.8	480.5	733.8	303.4	479.4	809.2	1120.3
200617_at	632.1	1764.4	1042.3	962.9	1241.1	1255.9	1396.6	913.5	871.4	1145.2	944	1316.1	985.8	1191.7	1409.9	1802.3
